Description,Price,Rating,ReviewCount,Url
Shopping List 3,₹599,N/A,0,http://www.flipkart.com/shopping-list-3/p/itme01651b6b3436?pid=9781948318570&lid=LSTBOK9781948318570ZAVYUC&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781948318570.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Green Reset! 6-Week Green Smoothie and Juicing Challeng...,₹771,N/A,0,http://www.flipkart.com/green-reset-6-week-smoothie-juicing-challenge-with-recipes-shopping-lists-tips-detox-advice-more/p/itmb790a8bb876c5?pid=9798631978515&lid=LSTBOK9798631978515RTN1L0&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9798631978515.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
"Clark'S Boston Blue Book The Elite Private Address, Car...","₹1,172",N/A,0,http://www.flipkart.com/clark-s-boston-blue-book-elite-private-address-carriage-club-directory-ladies-visiting-list-shopping-guide/p/itm177ba64d9f6ce?pid=9789354306921&lid=LSTBOK9789354306921EBKODU&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9789354306921.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
"List of Patterns of Gears, Pulleys, Etc., Belonging to ...","₹1,590",N/A,0,http://www.flipkart.com/list-patterns-gears-pulleys-etc-belonging-lawrence-machine-shop/p/itmdfgh9gtdxkf4y?pid=9781273747298&lid=LSTBOK97812737472988PHC0P&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781273747298.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
"List of Practical Books in the Library on Electricity, ...","₹2,468",N/A,0,http://www.flipkart.com/list-practical-books-library-electricity-machine-shop-practice-foundry-plumbing-wood-working/p/itmf9k5chjptbxer?pid=9781342655424&lid=LSTBOK97813426554245KEM3I&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781342655424.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
"List of Practical Books in the Library on Electricity, ...","₹1,255",N/A,0,http://www.flipkart.com/list-practical-books-library-electricity-machine-shop-practice-foundry-plumbing-wood-working/p/itmf9k5chjptbxer?pid=9781378456729&lid=LSTBOK9781378456729DULG7Y&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781378456729.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Agents Auctions Guide- Top 10 Tips to Successfully List...,"₹1,456",N/A,0,http://www.flipkart.com/agents-auctions-guide-top-10-tips-successfully-list-property-auction/p/itmdvuh8dxnhsvxn?pid=9780992416577&lid=LSTBOK9780992416577WOZTP4&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9780992416577.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
The Ultimate Christmas Bucket List,"₹1,356",N/A,0,http://www.flipkart.com/ultimate-christmas-bucket-list/p/itmf6tgsqakafxhs?pid=9781943681020&lid=LSTBOK9781943681020GYCDJH&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781943681020.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Daily Planner Schedule - Schedules Appointment Planner ...,₹427,N/A,0,http://www.flipkart.com/daily-planner-schedule-schedules-appointment-undated-to-do-list-priorities-shopping-event-wishes-go-notes-more/p/itmdfbc19f51b8ee?pid=9785989416325&lid=LSTBOK9785989416325DZ6HFB&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9785989416325.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Book - Beautiful Log Book for Shopping,₹577,N/A,0,http://www.flipkart.com/shopping-list-book-beautiful-log/p/itmc42681b3f41fb?pid=9784858631265&lid=LSTBOK9784858631265FPZGNF&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9784858631265.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Notebook,₹502,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063060&lid=LSTBOK9781716063060LMRMBN&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063060.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Notebook,₹502,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063077&lid=LSTBOK9781716063077VNWMOO&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063077.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Notebook,₹502,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063084&lid=LSTBOK97817160630841FFHFS&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063084.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Notebook,₹562,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063091&lid=LSTBOK9781716063091EAEK1M&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063091.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Notebook,₹502,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063107&lid=LSTBOK9781716063107H8FT8Q&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063107.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Notebook,₹502,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063114&lid=LSTBOK9781716063114AVTNJC&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063114.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Notebook,₹502,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063121&lid=LSTBOK9781716063121ILDWXU&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063121.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Notebook,₹502,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063138&lid=LSTBOK9781716063138FVMYNF&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063138.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
Shopping List Notebook,₹502,N/A,0,http://www.flipkart.com/shopping-list-notebook/p/itmd36e43c37c491?pid=9781716063145&lid=LSTBOK9781716063145KOFRSR&marketplace=FLIPKART&q=Shopping+_+List&store=bks&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=1e2cd5de-7773-4b0d-a8ad-75b49157970d.9781716063145.SEARCH&ppt=None&ppn=None&ssid=fj94t169y80000001654450598444&qH=1ac6b4484a753a9f
